product_name_norm,representative_plu_code,representative_category,candidate_plu_count
20설)루이본아리엘진주큐빅귀걸이,8806379998540,생활잡화,1
20설)루이본엄프틴하트목걸이,8806379998519,생활잡화,1
20설)루이본유얼페어귀걸이,8806379998557,생활잡화,1
20설)루이본크레센도달별목걸이,8806379998526,생활잡화,1
20설)루이본클래식다이아목걸이,8806379998496,생활잡화,1
20설)루이본파운딩하트큐빅드롭롱귀걸이,8806379998533,생활잡화,1
20설)머렐남성양말2족세트,8809258566892,생활잡화,1
20설)머렐여성양말2족세트,8809258567912,생활잡화,1
20설)신궁전통한과(복드림)특판용,8804619925141,빵/디저트,1
20설)케이스위스남성양말2족세트,8809258567929,생활잡화,1
20설)케이스위스남성자수양말3족세트,8809301284490,생활잡화,1
20추)코베아)AL미니테이블Ⅲ,1500000104450,생활잡화,1
20추석)루이본14K꽃리스목걸이,8806379998823,생활잡화,1
20추석)루이본14K반짝나비목걸이,8806379998847,생활잡화,1
20추석)루이본14K방울꽃원터치귀걸이,8806379998885,생활잡화,1
20추석)루이본14K버블링귀걸이,8806379998854,생활잡화,1
20추석)루이본14K심플라인큐목걸이,8806379998830,생활잡화,1
20추석)루이본14K심플써클팔찌,8806379998892,생활잡화,1
20추석)루이본14K엣지써클원터치귀걸이,8806379998878,생활잡화,1
20추석)루이본14K직사각원터치귀걸이,8806379998861,생활잡화,1
20추석)쓰리쎄븐네일케어11종세트(금속케이스),8806379998816,생활잡화,1
20추석)쓰리쎄븐네일케어7종세트(ABS케이스),8806379998793,생활잡화,1
20추석)쓰리쎄븐네일케어9종세트(인조가죽케이스),8806379998809,생활잡화,1
20추석)카카오프렌즈자수세면타월4매(라이언),8805123012174,생활잡화,1
20추석)카카오프렌즈자수세면타월4매(어피치),8805123012136,생활잡화,1
20추석)카카오프렌즈자수세면타월5매,8805123013638,생활잡화,1
20프레시지)볼로네제라구파스타647g,8809558847271,간편식품,1
20프레시지)볼로네제라구파스타647g (사전예약),1500000128074,간편식품,1
20피코크)리북방순대전골1100g,8809811820966,간편식품,1
21K)더원블루1m,8801116000456,담배,1
21설)가리발디 6+6멀티팩세트,1500000109653,카운터FF,1
21설)라떼아트 우유거품기 F04MK,1500000109738,카운터FF,1
21설)아르떼 바리스토A01 멀티캡슐머신(우드),1500000109745,카운터FF,1
21설)아르떼 바리스토A01 멀티캡슐머신(화이트),1500000110307,카운터FF,1
21설)쟈뎅 올더타임 아워티 선물세트,8808024028855,카운터FF,1
21프레시지)소고기샤브전골760g,8809558840333,간편식품,1
21피코크)부채살찹스테이크487g,8809810162821,간편식품,1
22K)더원오렌지0.5m,8801116001033,담배,1
22년추석구르메)유러피안치즈세트,1500000021290,유제품,1
22년추석구르메)홈파티치즈세트,1500000064204,유제품,1
22피코크)돈마호크스테이크629g,8809810161985,간편식품,1
23FW)따뜻한넥워머,8806379959183,생활잡화,1
23FW)따뜻한스마트폰터치장갑,8806379959190,생활잡화,1
23FW)따뜻한울양말,8806379959671,생활잡화,1
23FW)따뜻한접이식왕귀마개,8806379959688,생활잡화,1
23FW)레그웜50D타이즈,8808906775686,생활잡화,1
23FW)레그웜80D타이즈,8808906775693,생활잡화,1
23FW)레그웜기모레깅스,8808906775716,생활잡화,1
23FW)레그웜기모타이즈,8808906775709,생활잡화,1
23FW)레그웜니삭스,8808906775679,생활잡화,1
23FW)레그웜학생용타이즈,8808906775723,생활잡화,1
23FW)바디웜남성상의,8808906779547,생활잡화,1
23FW)바디웜남성하의,8808906779554,생활잡화,1
23FW)바디웜여성상의,8808906779523,생활잡화,1
23FW)바디웜여성하의,8808906779530,생활잡화,1
23FW)바디웜패딩목도리,8808906779561,생활잡화,1
23FW)바디웜패딩조끼100,8808906780857,생활잡화,1
23FW)바디웜패딩조끼105,8808906780864,생활잡화,1
23K)보헴시가슬림핏브라운1mg,8801116006533,담배,1
23SS)1+1면밀착덧신,8808906684988,생활잡화,1
23SS)남성모달팬티(100),8808906694871,생활잡화,1
23SS)남성모달팬티(105),8808906694864,생활잡화,1
23SS)냉장고반바지(Free),8808906699630,생활잡화,1
23SS)베이직쿨목토시,8808906687842,생활잡화,1
23SS)스니커즈밀착덧신,8808906685008,생활잡화,1
23SS)시스루밀착덧신,8808906685015,생활잡화,1
23SS)아쿠아엑스쿨토시블랙,8806379999462,생활잡화,1
23SS)아쿠아엑스쿨토시손등형블랙,8806379999486,생활잡화,1
23SS)아쿠아엑스쿨토시화이트,8806379999479,생활잡화,1
23SS)여성모달팬티(90),8808906694857,생활잡화,1
23SS)여성모달팬티(95),8808906694840,생활잡화,1
23SS)이중토우밀착덧신,8808906687828,생활잡화,1
23SS)컴포트밀착덧신,8808906684995,생활잡화,1
23SS)쿨넥스카프,8806379937037,생활잡화,1
23SS)쿨티셔츠,8808906687835,생활잡화,1
23SS)패턴목쿨토시,8806379999530,생활잡화,1
23가정의달)골드장미포장(1P),1500000068868,생활잡화,1
23가정의달)작약꽃다발,1500000136895,생활잡화,1
23가정의달)파스탤작약화기,1500000136925,생활잡화,1
23가정의달)프리져브드수국다발,1500000136901,생활잡화,1
23가정의달)하트카네이션다발,1500000136918,생활잡화,1
23구찌)오피디아GG카드지갑,8806379936825,생활잡화,1
23구찌)오피디아슈프림GG카드지갑,8806379936818,생활잡화,1
23구찌)홀스빗1955카드지갑,8806379936832,생활잡화,1
23년설_구르메)나만의홈파티치즈세트,8007222601079,유제품,1
23년설_구르메)유러피안치즈세트,8007222405325,유제품,1
23년설_구르메)치즈&사퀴테리선물세트,8713638007946,유제품,1
23루이본)14k개더링원터치귀걸이,8806379936931,생활잡화,1
23루이본)14k루아엔리스귀걸이,8806379936917,생활잡화,1
23루이본)14k블루밍플라이목걸이,8806379936986,생활잡화,1
23루이본)14k생크추어리목걸이,8806379937006,생활잡화,1
23루이본)14k샤인레인드롭귀걸이,8806379936955,생활잡화,1
23루이본)14k셀리라운드목걸이,8806379937020,생활잡화,1
23루이본)14k오로라샤인귀걸이,8806379936924,생활잡화,1
23루이본)14k클레어리프목걸이,8806379936979,생활잡화,1
23루이본)14k투박스히트참목걸이,8806379937013,생활잡화,1
23루이본)14k트윙클참목걸이,8806379936993,생활잡화,1
23루이본)14k플라워포유목걸이,8806379936962,생활잡화,1
23루이본)14k플로즈스퀘어바귀걸이,8806379936948,생활잡화,1
23버버리)빈티지체크반지갑,8806379936795,생활잡화,1
23버버리)퀄팅롤라반지갑,8806379936788,생활잡화,1
23생로랑)모노그램마틀라세숄더백,8806379936863,생활잡화,1
23생로랑)모노그램케이트사첼백,8806379936856,생활잡화,1
23생로랑)카메라크로스백,8806379936849,생활잡화,1
23설사옹원)명절모듬전세트(냉동),8809109116917,간편식품,1
23설풍성)명장명란선물세트600g,1500000134839,간편식품,1
23설풍성)명장명란선물세트800g,1500000134822,간편식품,1
23설풍성)명장전통장세트12호,1500000134853,간편식품,1
23설풍성)명장전통장실속세트7호,1500000134846,간편식품,1
23설풍성)영양떡국떡선물세트_선,1500000134815,간편식품,1
23설풍성)영양떡국떡선물세트_진,1500000134785,간편식품,1
23설프레시지)복듬뿍명절세트,1500000134860,간편식품,1
23설프레시지)얼큰깔끔한상세트,1500000134877,간편식품,1
