"PLU코드","상품명"
"1500000134853","23설풍성)명장전통장세트12호"
"1500000134846","23설풍성)명장전통장실속세트7호"
"1500000134815","23설풍성)영양떡국떡선물세트_선"
"1500000134785","23설풍성)영양떡국떡선물세트_진"
"1500000134860","23설프레시지)복듬뿍명절세트"
"1500000134877","23설프레시지)얼큰깔끔한상세트"
"1500000134884","23설프레시지)잔치안주홈술세트"
"1500000150631","23추석YOZM)그릭요거트멀티세트"
"1500000150624","23추석YOZM)그릭요거트콩포트세트"
"8809029031826","23추석삼진)부산어묵1953세트(2호)"
"8809029030966","23추석삼진)이금복명품선물세트"
"8809488881000","23추석상하농원)햄공방실속세트"
"8801117353803","23추석오리온)닥터유드링크세트12팩"
"8809861811143","23추석존쿡)델리미트샤퀴테리세트"
"8809350313097","23추석풍성)단백질닭가슴살세트"
"8809350313080","23추석풍성)떡갈비&스테이크세트"
"8809350313066","23추석풍성)행복담은수제햄(1호)"
"8809350313073","23추석풍성)행복담은수제햄(2호)"
"1500000150648","23추석프레시지)고기듬뿍세트"
"1500000150662","23추석프레시지)왕만두한상차림"
"1500000150655","23추석프레시지)푸짐한명절세트"
"8806379936887","23프라다)사피아노카드지갑"
"8806379936894","23프라다)삼각로고카드지갑"
"8806379938966","24FW)따뜻한넥워머"
"8806379938973","24FW)따뜻한수면양말"
"8806379938942","24FW)따뜻한스마트폰터치장갑"
"8806379938959","24FW)따뜻한접이식왕귀마개"
"8808906978957","24FW)레그웜50D타이즈"
"8808906978964","24FW)레그웜80D타이즈"
"8808906978988","24FW)레그웜기모레깅스"
"8808906978971","24FW)레그웜기모타이즈"
"8808906988734","24FW)레그웜니삭스"
"8808906988598","24FW)멀티숄베이지"
"8808906988604","24FW)멀티숄블랙"
"8808906988611","24FW)밍크수면바지"
"8808906988581","24FW)바디웜패딩목도리"
"8808906988741","24FW)여성용울양말"
"8808906991567","24FW)오리솜털패딩조끼100"
"8808906991574","24FW)오리솜털패딩조끼105"
"8806379938980","24FW)포그니울양말"
"8801116001965","24K)심플에이스1mg"
"8808906906608","24SS)냉장고반바지(Free)"
"8808906888942","24SS)스니커즈밀착덧신"
"8808906888959","24SS)시스루밀착덧신"
"8806379938188","24SS)아쿠아엑스손등형쿨토시블랙"
"8806379938195","24SS)아쿠아엑스쿨토시블랙"
"8806379938201","24SS)아쿠아엑스쿨토시화이트"
"8808906888966","24SS)앞코보강밀착덧신"
"8808906888935","24SS)컴포트밀착덧신"
"8806379938218","24SS)쿨넥스카프"
"8808906888997","24SS)쿨스카프(귀걸이형)"
"8806379938225","24SS)쿨패턴스카프(일반형)"
"1500000136864","24가정의달)골드카네이션코사지(1P)"
"1500000136871","24가정의달)레드카네이션코사지(1P)"
"1500000068851","24가정의달)레드카네이션포장(1P)"
"1500000166632","24가정의달)장미한송이꽃다발"
"1500000068882","24가정의달)카네이션용돈박스"
"1500000166649","24가정의달)퀸스로즈다발"
"1500000166656","24가정의달)프리저브드미니장미수국다발"
"3389750000483","24설구르메)치즈플레이트선물세트"
"3389750033221","24설구르메)패밀리치즈선물세트"
"8809029030959","24설삼진)프리미엄선물세트"
"8809488886609","24설상하농원)수제햄&치즈고급세트"
"1500000161620","24설조선호텔)딤섬선물세트"
"1500000161637","24설조선호텔)훈제연어선물세트"
"8809861811150","24설존쿡)델리미트베스트세트"
"8809075120406","24추석구르메)치즈샤퀴테리세트"
"8809075120413","24추석구르메)치즈플레이트세트"
"8809488885961","24추석상하농원)수제햄&치즈세트"
"8809558841415","24프레시지)더블체다함박스테이크576g"
"8800294436217","25FW)PSG주니어방한장갑L"
"8806379939918","25FW)따뜻한넥워머"
"8806379939932","25FW)따뜻한수면양말"
"8806379939901","25FW)따뜻한스마트폰터치장갑"
"8806379939925","25FW)따뜻한접이식왕귀마개"
"8808994173173","25FW)레그웜50D타이즈"
"8808994173180","25FW)레그웜80D타이즈"
"8808994173203","25FW)레그웜기모레깅스"
"8808994173197","25FW)레그웜기모타이즈"
"8808994173166","25FW)레그웜니삭스"
"8800294436729","25FW)마이멜로디리본귀마개"
"8800294437573","25FW)마이멜로디방울장갑"
"8800294437184","25FW)마이멜로디방한장갑M"
"8800294437023","25FW)마이멜로디파스텔공군모"
"8808994170028","25FW)머플러베이지"
